FDD,LAI_summer,MAAT,P_annual,P_summer,ROS_days,SWE_max,TDD,T_JJA_mean,T_annual_range,T_summer_max,T_summer_mean,T_winter_mean,heat_wave_days,lat,lon,snow_depth_winter,snow_off_doy,soil_T,soil_moisture,wind_direction_winter,wind_speed_winter_mean,year,NDVI_summer,NDWI_annual_mean,FIRMS_fire_days,site_id,aspect_deg,bulk_density_0cm,bulk_density_30cm,clay_pct_0cm,clay_pct_30cm,eastness,elevation_m,northness,sand_pct_0cm,sand_pct_30cm,silt_pct_0cm,slope_deg,soc_gkg_0cm,soc_gkg_30cm,soc_gkg_avg_0_30cm,tpi,tri,landcover_esa_2020,landcover_esa_2021,soil_texture_0cm,soil_texture_30cm,landcover_igbp,dist_to_coast_km,continentality_dist
4257.175036862042,0.959433665535844,-10.51040257672997,267.238729296748,99.07465120661703,0.0,0.11482154301234654,431.38849893234095,4.560336599305049,28.827636614300953,17.87484448024207,4.560336599305049,-24.267300014995893,0.18571428571428572,71.31667,-156.6,0.46768375206912116,180.0,-3.0451344119061403,0.28304635856364924,206.70462302569987,5.338261822791878,1962,,,,71.31667_-156.6,153.34717917987047,8.96587588667002,11.420925640290621,20.59402683556053,20.85069363872547,0.17711130607240297,1.826835673251206,-0.17557446230621396,47.312394498209585,48.12717089128824,32.09357866622989,0.37241264771896293,6.483519653476402,3.675319747205189,5.079419700340785,0.26089222328464023,1.0603681655268622,89.99999999999999,90.0,7.0,7.0,11,3.441419368453732,1.4909740029378125
4609.3172940528375,0.959433665535844,-11.814804752894814,363.56699831125763,175.523539749263,0.0,0.17654277529035298,308.728363999142,3.178342561427369,28.21177603176809,16.399241158621678,3.178342561427369,-25.033433470340725,0.0,71.31667,-156.6,0.5023197826795747,180.0,-3.2548940493185663,0.30254222735630043,82.09124156942836,4.93357128364431,1963,,,,71.31667_-156.6,153.34717917987047,8.96587588667002,11.420925640290621,20.59402683556053,20.85069363872547,0.17711130607240297,1.826835673251206,-0.17557446230621396,47.312394498209585,48.12717089128824,32.09357866622989,0.37241264771896293,6.483519653476402,3.675319747205189,5.079419700340785,0.26089222328464023,1.0603681655268622,89.99999999999999,90.0,7.0,7.0,11,3.441419368453732,1.4909740029378125
5436.739664751221,0.959433665535844,-13.975506790847943,176.2626609257499,33.14489205266052,0.0,0.09663973535810198,335.4249645010653,3.298010760935636,31.626870923636915,18.38826788766046,3.298010760935636,-28.32886016270126,0.2492857142857143,71.31667,-156.6,0.4297369864817417,180.0,-4.25385756559424,0.25241652549549554,73.44364085322997,5.387190439145632,1964,,,,71.31667_-156.6,153.34717917987047,8.96587588667002,11.420925640290621,20.59402683556053,20.85069363872547,0.17711130607240297,1.826835673251206,-0.17557446230621396,47.312394498209585,48.12717089128824,32.09357866622989,0.37241264771896293,6.483519653476402,3.675319747205189,5.079419700340785,0.26089222328464023,1.0603681655268622,89.99999999999999,90.0,7.0,7.0,11,3.441419368453732,1.4909740029378125
4720.042970865326,0.959433665535844,-11.98926497249313,237.8800584609393,68.92426256573755,2.0,0.11448861530848913,355.1240463225976,3.3857779006519024,34.49140665628155,17.137546942574662,3.3857779006519024,-31.105628755629645,0.0,71.31667,-156.6,0.40774486951996386,180.0,-4.800403732806811,0.23744618465986506,63.87174156989089,4.929019865475141,1965,,,,71.31667_-156.6,153.34717917987047,8.96587588667002,11.420925640290621,20.59402683556053,20.85069363872547,0.17711130607240297,1.826835673251206,-0.17557446230621396,47.312394498209585,48.12717089128824,32.09357866622989,0.37241264771896293,6.483519653476402,3.675319747205189,5.079419700340785,0.26089222328464023,1.0603681655268622,89.99999999999999,90.0,7.0,7.0,11,3.441419368453732,1.4909740029378125
4834.042592071067,0.959433665535844,-12.328131498569348,243.99571800350063,111.58829047590727,0.8371428571428571,0.11667152881622314,342.99105675352416,3.610243374531616,32.37573577704256,15.644871128627255,3.610243374531616,-28.765492402510933,0.0,71.31667,-156.6,0.524706819635333,180.0,-4.2792959570372755,0.27542538793345267,81.1847858710107,4.700068606373099,1966,,,,71.31667_-156.6,153.34717917987047,8.96587588667002,11.420925640290621,20.59402683556053,20.85069363872547,0.17711130607240297,1.826835673251206,-0.17557446230621396,47.312394498209585,48.12717089128824,32.09357866622989,0.37241264771896293,6.483519653476402,3.675319747205189,5.079419700340785,0.26089222328464023,1.0603681655268622,89.99999999999999,90.0,7.0,7.0,11,3.441419368453732,1.4909740029378125
4427.6782111672765,0.959433665535844,-11.245709808165985,269.2130808332775,99.51295756333377,0.42500000000000004,0.10920864513942173,332.84760829626026,3.6349936870453274,30.14286898757568,15.41396887642999,3.6349936870453274,-26.50787530053036,0.0,71.31667,-156.6,0.42444422150882816,180.0,-3.7697778604568337,0.27877417732320614,86.23683306470181,4.663466313416482,1967,,,,71.31667_-156.6,153.34717917987047,8.96587588667002,11.420925640290621,20.59402683556053,20.85069363872547,0.17711130607240297,1.826835673251206,-0.17557446230621396,47.312394498209585,48.12717089128824,32.09357866622989,0.37241264771896293,6.483519653476402,3.675319747205189,5.079419700340785,0.26089222328464023,1.0603681655268622,89.99999999999999,90.0,7.0,7.0,11,3.441419368453732,1.4909740029378125
4709.260705773479,0.959433665535844,-11.406196540349741,195.579260172276,50.275208007325524,0.0,0.138919290133885,545.9989685458254,5.567305828036646,30.738578365651783,21.948601237705798,5.567305828036646,-25.171272537615128,3.6235714285714287,71.31667,-156.6,0.5823361005216692,180.0,-2.4029324067396156,0.21851206279438615,74.75836036415711,4.558417120964532,1968,,,,71.31667_-156.6,153.34717917987047,8.96587588667002,11.420925640290621,20.59402683556053,20.85069363872547,0.17711130607240297,1.826835673251206,-0.17557446230621396,47.312394498209585,48.12717089128824,32.09357866622989,0.37241264771896293,6.483519653476402,3.675319747205189,5.079419700340785,0.26089222328464023,1.0603681655268622,89.99999999999999,90.0,7.0,7.0,11,3.441419368453732,1.4909740029378125
,,,,,,,,,,,,,,64.9,-147.8166667,,,,,,,1969,,,,64.9_-147.81667,201.3356654280284,8.179600499049037,12.259049625713276,8.443586522186742,8.54315639777347,-0.27817372526846423,259.03201489043425,-0.5946460856731793,35.70763318152472,36.82261512153414,55.848780296288545,6.842498950876431,4.893718264146981,1.3907806801723985,3.142249472159688,-8.420182860093767,24.3719950331732,10.0,10.0,8.0,8.0,5,447.89435176832546,6.106787563325848
4488.804531307934,0.959433665535844,-11.51664541767507,214.80716348487397,90.54011270430644,0.0,0.09953869479043144,295.02586042722265,2.613890611976969,29.827410333949558,16.8560545567104,2.613890611976969,-27.213519721972595,0.0,71.31667,-156.6,0.43533692973766047,180.0,-2.712804654868454,0.2345848202979858,85.5754167981111,4.890708094578188,1969,,,,71.31667_-156.6,153.34717917987047,8.96587588667002,11.420925640290621,20.59402683556053,20.85069363872547,0.17711130607240297,1.826835673251206,-0.17557446230621396,47.312394498209585,48.12717089128824,32.09357866622989,0.37241264771896293,6.483519653476402,3.675319747205189,5.079419700340785,0.26089222328464023,1.0603681655268622,89.99999999999999,90.0,7.0,7.0,11,3.441419368453732,1.4909740029378125
,,,,,,,,,,,,,,64.9,-147.8166667,,,,,,,1970,,,,64.9_-147.81667,201.3356654280284,8.179600499049037,12.259049625713276,8.443586522186742,8.54315639777347,-0.27817372526846423,259.03201489043425,-0.5946460856731793,35.70763318152472,36.82261512153414,55.848780296288545,6.842498950876431,4.893718264146981,1.3907806801723985,3.142249472159688,-8.420182860093767,24.3719950331732,10.0,10.0,8.0,8.0,5,447.89435176832546,6.106787563325848
